TMS original  Object Package Name,Renamed Package,Renamed Package,Renamed Package,Package ID,Package Owner,Alex B's Notes,Status
AAA_DeptHighlights_1,,03/04/2020,,152125,flloyd-baynes,Native American Highlights,Ready
AAA_DeptHighlights_2,,03/12/2020,,152126,flloyd-baynes,African Art Highlights,Ready
AAA_DeptHighlights_3,,03/12/2020,,152127,flloyd-baynes,Oceanic Art Highlights,Ready
CA_DeptHighlights_1,,02/09/2021,CA_DeptHighlights_1_Contemporary Highlights,152128,flloyd-baynes,Highlights of the Contemporary Collection,Ready
CA_DeptHighlights_2,,02/09/2021,CA_DeptHighlights_2_Women in Contemporary,152130,flloyd-baynes,Women in the Contemporary Collection,
CA_DeptHighlights_3,,02/09/2021,CA_DeptHighlights_3_Minnesotan Artists,152131,flloyd-baynes,Minnesotan Artists,
CSSAA_DeptHighlights_1,,03/30/2020,,152132,flloyd-baynes,Chinese Art Highlights,Ready
CSSAA_DeptHighlights_2,,03/30/2020,,152133,flloyd-baynes,"Himalayan, South, Southeast Asian and Islamic Art",Ready
CSSAA_DeptHighlights_3,,02/04/2020,,152134,flloyd-baynes,,unused at this time
DATS_DeptHighlights_1,DATS_RecentAcqHighlights_1,03/13/2020,,152135,flloyd-baynes,Recent Accession Highlights,Ready
DATS_DeptHighlights_2,DATS_TextileHighlights_2,03/13/2020,,152136,flloyd-baynes,Textile Highlights,Ready
DATS_DeptHighlights_3,,02/04/2020,,152137,flloyd-baynes,Decorative Arts Highlights,
DATS_DeptHighlights_4,,,,160234,flloyd-baynes,Sculpture Highlights,
JKA_DeptHighlights_1,,02/25/2020,Packages for display on artsmia Department pages,152138,flloyd-baynes,Highlights of Japanese Art: Sculpture and Decorative Art,Ready
JKA_DeptHighlights_2,,02/25/2020,,152139,flloyd-baynes,Highlights of Japanese Art: Paintings and Prints,Ready
JKA_DeptHighlights_3,,02/25/2020,,152140,flloyd-baynes,Highlights of Korean Art,Ready
P+D_DeptHighlights_1,,03/24/2020,,152141,flloyd-baynes,Collection Highlights,Ready
P+D_DeptHighlights_2,,03/16/2020,,152142,flloyd-baynes,Recent Additions,Ready
P+D_DeptHighlights_3,,02/04/2020,,152143,flloyd-baynes,Diversifying the Collection,Ready
P+NM_DeptHighlights_1,,03/30/2020,Recent Acquisitions,152144,flloyd-baynes,Recent Acquisitions,Ready
P+NM_DeptHighlights_2,,03/30/2020,Women and LGBTQIA Photographers ,152145,flloyd-baynes,Women and LGBTQIA Photographers ,Ready
P+NM_DeptHighlights_3,,03/30/2020,Collection Highlights,152146,flloyd-baynes,Collection Highlights,Ready
PTGS_DeptHighlights_1,,02/04/2020,,152147,flloyd-baynes,Paintings Collection Highlights,
PTGS_DeptHighlights_2,,02/04/2020,,152148,flloyd-baynes,Recent Acquisitions,
PTGS_DeptHighlights_3,,02/04/2020,,152149,flloyd-baynes,Women Artists in the Collection,